1001-18-000037-00|7|1|1|071|43327|43646||20|02|3261|07087|D_|1|1|01|976.34|0.49|422.36|49|0|2951023|0|2951023|1|2|3|20180926|0|01|1|;
1001-18-000037-00|8|1|1|071|43327|43646||20|02|3261|28003|A_|1|1|01|5491.23|2.75|2375.51|275|0|41594123|0|41594123|1|2|3|20180926|0|01|1|;
1001-18-000037-00|9|1|1|071|43327|43646||20|02|3261|30193|B_|1|1|01|11744.33|5.87|5080.62|587|0|59310328|0|59310328|1|2|3|20180926|0|01|1|;
1001-18-000037-00|10|1|1|071|43327|43646||20|02|3261|29042|B_|1|1|01|2804.87|1.4|1213.4|140|0|14151759|0|14151759|1|2|3|20180926|0|01|1|;
1001-18-000037-00|11|1|1|071|43327|43646||20|02|3261|30193|B_|1|1|01|95.94|0.05|41.5|5|0|465940|0|465940|1|2|3|20180926|0|01|1|;
1001-18-000037-00|12|1|1|071|43327|43646||20|02|3261|19045|A_|1|1|01|174.95|0.09|75.68|9|0|1310126|0|1310126|1|2|3|20180926|0|01|1|;
1001-18-000037-00|13|1|1|071|43327|43646||20|02|3261|11027|B_|1|1|01|50.79|0.02|21.97|3|0|227968|0|227968|1|2|3|20180926|0|01|1|;
1001-18-000037-00|14|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|135.44|0.06|58.59|7|0|521657|0|521657|1|2|3|20180926|0|01|1|;
1001-18-000037-00|15|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|253.96|0.13|109.86|13|0|959558|0|959558|1|2|3|20180926|0|01|1|;
1001-18-000037-00|16|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|767.53|0.38|332.03|38|0|1662497|0|1662497|1|2|3|20180926|0|01|1|;
1001-18-000037-00|17|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|338.62|0.17|146.48|17|0|727576|0|727576|1|2|3|20180926|0|01|1|;
1001-18-000037-00|18|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|95.94|0.05|41.5|5|0|363555|0|363555|1|2|3|20180926|0|01|1|;
1001-18-000037-00|19|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|135.44|0.06|58.59|7|0|526597|0|526597|1|2|3|20180926|0|01|1|;
1001-18-000037-00|20|1|1|071|43327|43646||20|02|3261|33001|SZ|1|1|01|191.89|0.1|83.01|10|0|727576|0|727576|1|2|3|20180926|0|01|1|;
1001-18-000053-00|1|1|1|071|43373|43738||10|01|3251|15045|B_|1|1|01|27273|13.63|6874.29|1364|26665000|29750000|97500000|153915000|1|1|3|20181023|0|01|1|;
1001-18-000053-00|2|1|1|071|43373|43738||10|01|3251|09116|E_|1|1|01|155|0.07|39.07|8|0|250000|0|250000|1|2|3|20181023|0|01|1|;
1001-18-000053-00|3|1|1|071|43373|43738||10|01|3251|13076|B_|1|1|01|7874|3.94|1984.68|394|0|29625000|0|29625000|1|2|3|20181023|0|01|1|;
1001-18-000053-00|4|1|1|071|43373|43738||10|01|3251|15109|B_|1|1|01|1107.25|0.56|279.09|55|0|6250000|0|6250000|1|2|3|20181023|0|01|1|;
1001-18-000078-00|1|1|1|071|43432|43797||20|02|3261|14097|B_|1|2|01|35991.22|18.01|3254.01|1800|8814556|63170618|20111863|92097037|1|1|2|20181228|0|01|2|;
1001-18-000078-00|2|1|1|071|43432|43797||20|02|3261|14120|B_|1|2|01|3836.97|1.92|346.91|192|4755378|5069670|0|9825048|1|1|2|20181228|0|01|2|;
1001-18-000078-00|3|1|1|071|43432|43797||20|02|3261|14120|B_|1|2|01|4526.91|2.27|409.29|226|1398480|8809851|1379740|11588071|1|1|2|20181228|0|01|2|;
1001-18-000078-00|4|1|1|071|43432|43797||20|02|3261|14098|B_|1|2|01|129.74|0.06|11.72|6|319240|16291|0|335531|1|2|2|20181228|0|01|2|;
1001-18-000078-00|5|1|1|071|43432|43797||20|02|3261|14098|B_|1|2|01|855.06|0.43|77.3|43|693174|1207218|283138|2183530|1|1|2|20181228|0|01|2|;
1001-18-000078-00|6|1|1|071|43432|43797||20|02|3261|14097|B_|1|2|01|62.91|0.03|5.69|3|82920|73032|0|155952|1|2|2|20181228|0|01|2|;
1001-18-000078-00|7|1|1|071|43432|43797||20|02|3261|14120|B_|1|2|01|119.91|0.06|10.84|6|222273|85086|0|307359|1|2|2|20181228|0|01|2|;
1001-18-000078-00|8|1|1|071|43432|43797||20|02|3261|14120|B_|1|2|01|414.76|0.21|37.49|21|744148|318919|0|1063067|1|2|2|20181228|0|01|2|;
1001-18-000078-00|9|1|1|071|43432|43797||20|02|3261|14120|B_|1|2|01|98.29|0.05|8.89|5|165838|85044|0|250882|1|1|2|20181228|0|01|2|;
1001-18-000078-00|10|1|1|071|43432|43797||20|02|3261|14097|B_|1|2|01|328.27|0.17|29.68|16|842675|0|0|842675|1|2|2|20181228|0|01|2|;
1001-18-000080-00|1|1|1|071|43465|43830||20|02|3221|02002|C_|1|1|01|279161.52|139.58|764.82|0|28660334|206830452|0|235490786|1|1|3|20181228|0|01|1|;
1001-18-000080-00|2|1|1|071|43465|43830||20|02|3221|02002|C_|1|1|01|216864.78|108.43|594.14|0|22078021|160860858|0|182938879|1|1|3|20181228|0|01|1|;
1001-18-000080-00|3|1|1|071|43465|43830||20|02|3221|02002|C_|1|1|01|58164.9|29.08|159.36|0|49065808|0|0|49065808|1|1|3|20181228|0|01|1|;
1001-18-000080-00|4|1|1|071|43465|43830||20|02|3221|02002|C_|1|1|01|254033.88|127.03|695.98|0|31925487|182368184|0|214293671|1|1|3|20181228|0|01|1|;
1001-18-000080-00|5|1|1|071|43465|43830||20|02|3221|02002|C_|1|1|01|50414.01|25.21|138.13|0|16003310|26524498|0|42527808|1|1|3|20181228|0|01|1|;
1001-18-000080-00|6|1|1|071|43465|43830||20|02|3221|14070|B_|1|1|01|218757.19|109.38|599.34|0|42236849|142299523|0|184536372|1|1|3|20181228|0|01|1|;
1001-18-000080-00|7|1|1|071|43465|43830||20|02|3221|19012|A_|1|1|01|37251.09|18.63|102.05|0|22664539|55892910|0|78557449|1|1|3|20181228|0|01|1|;
1001-18-000081-00|1|1|1|071|43465|43830||20|06|3221|02002|C_|1|1|01|360800.18|180.4|988.49|0|84219113|262660012|0|346879125|1|1|3|20181228|0|01|1|;
1001-18-000081-00|2|1|1|071|43465|43830||20|06|3221|02002|C_|1|1|01|1657.34|0.83|4.54|0|0|1596660|0|1596660|1|2|3|20181228|0|01|1|;
1001-18-000081-00|3|1|1|071|43465|43830||20|06|3221|02002|C_|1|1|01|4489.27|2.24|12.29|0|3187444|1129944|0|4317388|1|2|3|20181228|0|01|1|;
A1002-18-000002-00|2|1|1|071|43190|43555||10|02|5242|02004|C_|1|2|01|1114|0.55|839.31|56|75000|350000|0|425000|5|2|2|20180402|0|01|1|;
A1002-18-000002-00|3|1|1|071|43190|43555||10|02|5242|08037|A_|1|2|01|77|0.03|58.02|4|75000|650000|0|725000|5|2|2|20180402|0|01|1|;
A1002-18-000002-00|4|1|1|071|43190|43555||10|02|5242|11020|B_|1|2|01|26|0.01|19.58|1|25000|138000|0|163000|5|2|2|20180402|0|01|1|;
A1002-18-000002-00|5|1|1|071|43190|43555||10|02|5242|14039|B_|1|2|01|3239|1.62|2440.35|162|5000000|10836126|0|15836126|11|2|2|20180402|0|01|1|;
A1002-18-000002-00|6|1|1|071|43190|43555||10|02|5242|09115|G_|1|2|01|23422|11.71|17646.71|1171|25000000|37500000|10000000|62500000|30|2|2|20180402|0|01|1|;
A1002-18-000002-00|7|1|1|071|43190|43555||10|02|5242|09103|E_|1|2|01|1022|0.51|770|51|210000|2516000|0|2726000|1|2|2|20180402|0|01|1|;
A1002-18-000002-00|8|1|1|071|43190|43555||10|02|5242|09102|F_|1|2|01|3118|1.56|2349.17|156|0|8320000|0|8320000|1|2|2|20180402|0|01|1|;
A1002-18-000002-00|9|1|1|071|43190|43555||10|02|5242|15057|B1|1|2|01|695|0.34|523.63|35|1000000|5500000|0|6500000|10|2|2|20180402|0|01|1|;
A1002-18-000002-00|10|1|1|071|43190|43555||10|02|5242|19019|A_|1|2|01|722|0.36|543.97|36|250000|6500000|0|6750000|11|2|2|20180402|0|01|1|;
A1002-18-000002-00|11|1|1|071|43190|43555||10|02|5242|21119|B_|1|2|01|214|0.1|161.23|11|250000|550000|0|800000|11|2|2|20180402|0|01|1|;
A1002-18-000002-00|12|1|1|071|43190|43555||10|02|5242|22014|B_|1|2|01|36|0.02|27.13|2|25000|300000|0|325000|5|2|2|20180402|0|01|1|;
A1002-18-000002-00|13|1|1|071|43190|43555||10|02|5242|01001|A_|1|2|01|19|0.01|14.31|1|25000|150000|0|175000|11|2|2|20180402|0|01|1|;
A1002-18-000002-00|14|1|1|071|43190|43555||10|02|5242|26030|B_|1|2|01|20|0.01|15.06|1|25000|50000|0|75000|5|2|2|20180402|0|01|1|;
A1002-18-000006-00|1|1|1|071|43203|43568||20|02|2211|09110|E_|1|1|01|39069.76|19.54|28044.59|1953|0|112183847|64455622|144411658|1|1|2|20180507|0|01|1|;
A1002-18-000007-00|2|1|1|071|43220|43585||20|01|3131|15051|B_|1|2|01|120840|60.41|81111.78|6042|137509803|431155719|39302400|607967922|1|1|2|20180509|0|01|2|;
A1002-18-000007-00|3|1|1|071|43220|43585||20|01|3131|15051|B_|1|2|01|151267.05|75.63|101535.41|7563|259668834|462027656|39302400|687792000|2|1|2|20180509|0|01|2|;
A1002-18-000007-00|4|1|1|071|43220|43585||20|01|3131|15051|B_|1|2|01|7813.95|3.91|5244.98|391|39302400|0|0|39302400|2|1|2|20180509|0|01|2|;
A1002-18-000007-00|5|1|1|071|43220|43585||20|01|3131|09104|E_|1|2|01|2742.78|1.37|1841.04|137|0|3930240|0|3930240|5|2|2|20180509|0|01|2|;
A1002-18-000007-00|6|1|1|071|43220|43585||20|01|3131|09115|G_|1|2|01|4439.74|2.22|2980.1|222|0|6386640|0|6386640|3|1|2|20180509|0|01|2|;
A1002-18-000020-00|1|210|2|071|43252|43617||10|01|9499|17028|B_|1|1|01|467528.21|233.77|314708.29|46753|889248601|9500000|2000000|900748601|2|2|3|20180616|0|01|2|;
